
0.000007,0.000018,0.000004|6700033.000000,508180.031250,0.000000|6910278.000000,494572.218750,0.000000|-6910278.000000,-494572.281250,0.000000|494572.218750,6910278.000000,0.000000|-494572.250000,-6910278.000000,0.000000|-25679735291904.000000,-41087569756160.000000,-5135946219520.000000|-15588073144320.000000,-63769380126720.000000,-18422232514560.000000|
0.000008,0.000019,0.000004|6696223.000000,554277.562500,0.000000|6906694.000000,539443.937500,0.000000|-6906694.000000,-539444.062500,0.000000|539443.937500,6906694.000000,0.000000|-539444.000000,-6906694.000000,0.000000|-28014247149568.000000,-44822786211840.000000,-5602848276480.000000|-17005166985216.000000,-69566579343360.000000,-20096971964416.000000|
0.000008,0.000021,0.000005|6692096.000000,600348.812500,0.000000|6902812.000000,584292.375000,0.000000|-6902812.000000,-584292.500000,0.000000|584292.375000,6902812.000000,0.000000|-584292.437500,-6902812.000000,0.000000|-30348759007232.000000,-48558002667520.000000,-6069750333440.000000|-18422259777536.000000,-75363774365696.000000,-21771709317120.000000|
0.000009,0.000022,0.000005|6687652.500000,646391.625000,0.000000|6898632.000000,629115.562500,0.000000|-6898632.000000,-629115.750000,0.000000|629115.562500,6898632.000000,0.000000|-629115.687500,-6898632.000000,0.000000|-32683268767744.000000,-52293214928896.000000,-6536651866112.000000|-19839351521280.000000,-81160965193728.000000,-23446446669824.000000|
0.000009,0.000024,0.000005|6682892.500000,692403.875000,0.000000|6894154.000000,673911.562500,0.000000|-6894154.000000,-673911.812500,0.000000|673911.562500,6894154.000000,0.000000|-673911.750000,-6894154.000000,0.000000|-35017776431104.000000,-56028427190272.000000,-7003553398784.000000|-21256443265024.000000,-86958156021760.000000,-25121181925376.000000|
0.000010,0.000026,0.000006|6677816.000000,738383.312500,0.000000|6889378.500000,718678.500000,0.000000|-6889378.500000,-718678.750000,0.000000|718678.500000,6889378.500000,0.000000|-718678.687500,-6889378.500000,0.000000|-37352281997312.000000,-59763635257344.000000,-7470454407168.000000|-22673535008768.000000,-92755338461184.000000,-26795915083776.000000|
0.000011,0.000027,0.000006|6672423.500000,784327.812500,0.000000|6884305.500000,763414.375000,0.000000|-6884305.500000,-763414.625000,0.000000|763414.375000,6884305.500000,0.000000|-763414.562500,-6884305.500000,0.000000|-39686785466368.000000,-63498843324416.000000,-7937355415552.000000|-24090624655360.000000,-98552520900608.000000,-28470648242176.000000|
0.000011,0.000029,0.000006|6666715.500000,830235.187500,0.000000|6878935.000000,808117.250000,0.000000|-6878935.000000,-808117.562500,0.000000|808117.250000,6878935.000000,0.000000|-808117.500000,-6878935.000000,0.000000|-42021288935424.000000,-67234047197184.000000,-8404255899648.000000|-25507714301952.000000,-104349703340032.000000,-30145379303424.000000|
0.000012,0.000030,0.000007|6660692.000000,876103.250000,0.000000|6873267.500000,852785.187500,0.000000|-6873267.500000,-852785.562500,0.000000|852785.187500,6873267.500000,0.000000|-852785.500000,-6873267.500000,0.000000|-44355792404480.000000,-70969251069952.000000,-8871156383744.000000|-26924803948544.000000,-110146877390848.000000,-31820108267520.000000|
0.000013,0.000032,0.000007|6654353.000000,921929.812500,0.000000|6867303.000000,897416.312500,0.000000|-6867303.000000,-897416.750000,0.000000|897416.312500,6867303.000000,0.000000|-897416.687500,-6867303.000000,0.000000|-46690291679232.000000,-74704446554112.000000,-9338055819264.000000|-28341891497984.000000,-115944051441664.000000,-33494837231616.000000|
0.000013,0.000034,0.000008|6647699.000000,967712.687500,0.000000|6861041.500000,942008.625000,0.000000|-6861042.000000,-942009.125000,0.000000|942008.625000,6861041.500000,0.000000|-942009.062500,-6861042.000000,0.000000|-49024790953984.000000,-78439642038272.000000,-9804955254784.000000|-29758979047424.000000,-121741225492480.000000,-35169564098560.000000|
0.000014,0.000035,0.000008|6640730.500000,1013449.750000,0.000000|6854484.000000,986560.250000,0.000000|-6854484.500000,-986560.812500,0.000000|986560.250000,6854484.000000,0.000000|-986560.750000,-6854484.500000,0.000000|-51359290228736.000000,-82174837522432.000000,-10271854690304.000000|-31176066596864.000000,-127538391154688.000000,-36844288868352.000000|
0.000014,0.000037,0.000008|6633447.500000,1059138.750000,0.000000|6847630.000000,1031069.187500,0.000000|-6847630.500000,-1031069.812500,0.000000|1031069.187500,6847630.000000,0.000000|-1031069.750000,-6847630.500000,0.000000|-53693785309184.000000,-85910024617984.000000,-10738753077248.000000|-32593154146304.000000,-133335556816896.000000,-38519011540992.000000|
0.000015,0.000038,0.000009|6625850.500000,1104777.625000,0.000000|6840480.000000,1075533.500000,0.000000|-6840480.500000,-1075534.250000,0.000000|1075533.500000,6840480.000000,0.000000|-1075534.125000,-6840480.500000,0.000000|-56028280389632.000000,-89645211713536.000000,-11205651464192.000000|-34010239598592.000000,-139132722479104.000000,-40193734213632.000000|
0.000016,0.000040,0.000009|6617939.500000,1150364.125000,0.000000|6833034.500000,1119951.375000,0.000000|-6833035.000000,-1119952.125000,0.000000|1119951.375000,6833034.500000,0.000000|-1119952.000000,-6833035.000000,0.000000|-58362775470080.000000,-93380398809088.000000,-11672549851136.000000|-35427322953728.000000,-144929879752704.000000,-41868456886272.000000|
0.000016,0.000041,0.000009|6609715.000000,1195896.125000,0.000000|6825293.500000,1164320.750000,0.000000|-6825294.000000,-1164321.625000,0.000000|1164320.750000,6825293.500000,0.000000|-1164321.500000,-6825294.000000,0.000000|-60697266356224.000000,-97115585904640.000000,-12139448238080.000000|-36844406308864.000000,-150727028637696.000000,-43543175364608.000000|
0.000017,0.000043,0.000010|6601177.500000,1241371.500000,0.000000|6817257.500000,1208639.875000,0.000000|-6817258.000000,-1208640.750000,0.000000|1208639.875000,6817257.500000,0.000000|-1208640.625000,-6817258.000000,0.000000|-63031757242368.000000,-100850764611584.000000,-12606345576448.000000|-38261489664000.000000,-156524177522688.000000,-45217893842944.000000|
0.000018,0.000045,0.000010|6592327.500000,1286788.125000,0.000000|6808926.500000,1252906.625000,0.000000|-6808927.000000,-1252907.625000,0.000000|1252906.625000,6808926.500000,0.000000|-1252907.500000,-6808927.000000,0.000000|-65366248128512.000000,-104585943318528.000000,-13073242914816.000000|-39678573019136.000000,-162321326407680.000000,-46892612321280.000000|
0.000018,0.000046,0.000010|6583165.500000,1332143.750000,0.000000|6800301.000000,1297119.250000,0.000000|-6800301.500000,-1297120.250000,0.000000|1297119.250000,6800301.000000,0.000000|-1297120.125000,-6800301.500000,0.000000|-67700734820352.000000,-108321122025472.000000,-13540140253184.000000|-41095656374272.000000,-168118475292672.000000,-48567326605312.000000|
0.000019,0.000048,0.000011|6573691.500000,1377436.250000,0.000000|6791381.500000,1341275.750000,0.000000|-6791382.000000,-1341276.750000,0.000000|1341275.750000,6791381.500000,0.000000|-1341276.625000,-6791382.000000,0.000000|-70035221512192.000000,-112056292343808.000000,-14007036542976.000000|-42512739729408.000000,-173915624177664.000000,-50242040889344.000000|
0.000019,0.000049,0.000011|6563906.000000,1422663.500000,0.000000|6782168.000000,1385374.125000,0.000000|-6782168.500000,-1385375.250000,0.000000|1385374.125000,6782168.000000,0.000000|-1385375.125000,-6782168.500000,0.000000|-72369704009728.000000,-115791462662144.000000,-14473932832768.000000|-43929818890240.000000,-179712756285440.000000,-51916755173376.000000|
0.000020,0.000051,0.000011|6553809.500000,1467823.375000,0.000000|6772661.000000,1429412.625000,0.000000|-6772662.000000,-1429413.750000,0.000000|1429412.625000,6772661.000000,0.000000|-1429413.625000,-6772662.000000,0.000000|-74704186507264.000000,-119526632980480.000000,-14940829122560.000000|-45346898051072.000000,-185509888393216.000000,-53591465263104.000000|
0.000021,0.000053,0.000012|6543402.500000,1512913.625000,0.000000|6762861.000000,1473389.250000,0.000000|-6762862.000000,-1473390.375000,0.000000|1473389.250000,6762861.000000,0.000000|-1473390.250000,-6762862.000000,0.000000|-77038669004800.000000,-123261803298816.000000,-15407725412352.000000|-46763977211904.000000,-191307020500992.000000,-55266175352832.000000|
